CLASS,LASTNAME,FIRSTNAME,TID,PHONE,EMAIL,GENDER,PASSWORD,MD5_HASH,SHA1_HASH
A,Adan,Tere,T190003,93513359,Tere@icloud.com,F,6QbC^ju$,9b56e20e78615301da5f1717fcf2fbbb,b8ad81a5ce83a361380f81241478f7a8c5c046e7
A,Brumbaugh,Richa,T190012,90906932,Ric76@sn.edu.hk,M,DTx@g^3s,6586c876c9bae0e39d9bbae94f9a2b5c,1f96f6f60f1ec5400ec86969ddb03bbce2123e7f
A,Dostal,Bly,T190053,97652514,Bly77@summit.hk,M,MM9u+Xc+,4dd36aa1424f564885ce89e44ab755ce,ee4edaa07bcb428f21cf9fd840311f0be1e9d12c
A,Eckman,Nubia,T190047,94824522,Eck_Nubia@nakika.co.jp,M,d4DD2eC^,05108787c62c8ffa36eaf0939c788f4d,e59fa113a3a7263137ffd53493105956223daa4c
A,Enfinger,Kylee,T190096,55808762,Enfi_K@diaperstack.com,F,^N&5Zd!m,e6bd0b0e08804fbdd35505c383116219,82e3f880a81a246a64c69f55e5801eb7c01fea4d
A,Ibanez,Paulen,T190050,56273576,P.Ibanez@hotmail.com,F,#q7!eRau,4e27e793a542404f054b4196ccd570e9,dfa096387206e0cfc0299d071003f76ec6a3bfc3
A,Irby,Trish,T190016,96415017,T.Irby@verizon.net,F,2AgFM,e095f0b2e04124ba40fa07ee67eae0cf,d707041e073ca31ec664b2e1f6c40e4b6f729712
A,Jacoby,Danie,T190019,28549592,Dan89@anda-kl.com.hk,M,dZ#5>QJM,aaf6e75ff9cadc7219f4ea0f99cc0615,73d88916a503beddc68ed8f12263e21b047b2866
A,Janas,Emery ,T190051,94008104,Eme66@live.com,M,m9D$De8A,936467312b8866ac7147ab96d4d77c85,18c14f99c8825c1b2dc1896e70ad6a92954ee0a6
A,Jose,Madonna ,T190008,97497732,M.Jose@verifast.com,F,$69F^m6K,88eb2c8ddf77f26192e2c48096d23c9d,8c6813b0b0d240c2096d1861e1eda5208f5fb6a5
A,Kilby,Jacki,T190094,91563553,Jac'ki@autozone-inc.info,F,J+KgNxD3,1fb1fe96c8d03a017efc8264e5e522df,8165f96adcbdebf2a4a9231ece83221d69acb1ee
A,Krach,Faustin,T190100,92198446,KrachFaustin@autokone-inc.info,M,79Hx&muv,f92ace7d7e0ab9b31e2ba1ecf5ad9393,dc896919a868a76a07349ad6bcee9c97c66d66eb
A,Losee,Lela Ha,T190102,91281162,Los_LelaHa@papamama.hk,F,~+&Yf2%~,54f5ff9b1a80be38a4f745749a58eba9,ace88c728df9f2976e26643adce2a7471e76c2d1
A,Ottinger,Jesti,T190061,96771830,J.Ottinger@att.net,M,Password,dc647eb65e6711e155375218212b3964,8be3c943b1609fffbfc51aad666d0a04adf83c9d
A,Rumfelt,Luci,T190030,96888584,Rum_Luci@gmail.com,M,D~pn27@W,8e0abb4ef2110e7916981d7d14ac1fc7,57b8e4a1ae8248b70ba080d0733a8bca5cebd89a
A,Rutigliano,Genev,T190041,91988001,Ru.Genev@sagakali.net,F,N@4TEw^8,29e9f2f6ca5bc56c53148ef29c9a71f6,be163b0ed215e6004cf5d1c15cd9295c49fe0e84
A,Stack,Chanel,T190071,98161197,C.Stack@hotmail.com,M,%#Uk%UZ7,c001b589cc916c92ec5fd3c1d5c23e73,ad6fd22c22e26099a0d54fa256fffe496abb35f7
A,Tevis,Ewa E,T190040,(852)20434626,Ewa.E@new-bb.net,F,5!LK$QVw,c66de8e9d7740dcee3bdc72815a0ab7b,a710289d61f9fa808c7178a996b84fcc1951239b
A,Totman,Arlen Fun,T190027,93116549,Arl80@anda-kl.com.hk,M,hd~M7$R3,f11e81bc5d509a99cfcfbaf13661f2cb,32d1c79c3c62478e7f26b0997e6dcdbff088dda6
A,Yaeger,Emelia ,T190005,96443692,Eme96@new-bb.net,F,5$ZJw5kY,426b6c8014085e5c8c179e7cd73ceb23,18de76ae499af275c3044fe9404fa67a76edf846
B,Badilla,Jordon J,T190062,59575724,Jordon18@@newkien.co.uk,M,?6x&TRQ4,54a639cdca4837ab56f94ce87ad9db93,f4105165089653388c8c54ce10f647541e781ff8
B,Eller,Nere,T190013,94703999,EllerNere@outlook.com,F,Uz2k%2nL,34d14e4190e588fa4cb85560f44fbc8d,59fb2168b01336ef54dc368ebb7ba07dfafae2ed
